City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
299,Eyl,SO,77.34,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
302,Harper,LR,77.45,light rain,4.375,-7.7169,Screensaver
307,Hobyo,SO,79.77,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
309,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
311,Homestead,US,84.2,clear sky,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
314,Chabahar,IR,77.79,few clouds,25.2919,60.643,هتل گدروشیا
315,Kroya,ID,75.25,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
318,Nioro,GM,79.3,scattered clouds,13.35,-15.75,
324,Goya,AR,87.62,clear sky,-29.14,-59.2626,Apart Costanera Goya
325,Moron,AR,81.95,clear sky,-34.6534,-58.6198,Hotel Morón
330,Padang,ID,76.59,light rain,-0.9492,100.3543,Mercure Padang
333,Chor,PK,77.43,clear sky,25.5167,69.7667,Asad U Bajeer Hotel
338,Lompoc,US,82.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
341,Haapiti,PF,83.93,scattered clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
350,Beruwala,LK,76.89,overcast clouds,6.4788,79.9828,The Palms Hotel
352,Itaguai,BR,85.89,clear sky,-22.8522,-43.7753,It Grande Hotel Itaguai
353,Benjamin Aceval,PY,84.6,scattered clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
363,Touros,BR,78.49,few clouds,-5.1989,-35.4608,INN NEW HORIZON
367,Mbini,GQ,75.51,overcast clouds,1.574,9.6134,Candy Vista Mar Mbini
374,Cabo San Lucas,MX,86.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
381,Estelle,US,75.2,mist,29.8458,-90.1067,Ohio
386,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
391,Buchanan,LR,78.64,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
