City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Longyearbyen,SJ,78.2186,15.6401,22.84,68,40,5.75,scattered clouds
79,Mana,GF,5.6592,-53.7767,78.01,86,100,10.78,heavy intensity rain
80,Upington,ZA,-28.4478,21.2561,75.58,20,0,1.14,clear sky
81,Okha,RU,53.5739,142.9478,31.93,75,42,8.61,scattered clouds
82,Chicama,PE,-7.8447,-79.1469,63.14,69,59,8.25,broken clouds
83,Hamilton,US,39.1834,-84.5333,69.44,40,0,8.05,clear sky
84,Avera,US,33.194,-82.5271,62.38,71,100,9.04,overcast clouds
85,Kainantu,PG,-6.2887,145.8655,68.97,59,68,2.62,broken clouds
86,Baran,IN,25.1,76.5167,68.4,53,0,4.0,clear sky
87,Khatanga,RU,71.9667,102.5,8.26,95,100,4.83,overcast clouds
88,Byron Bay,AU,-28.65,153.6167,67.71,52,2,6.64,clear sky
89,Misratah,LY,32.3754,15.0925,71.83,67,26,9.44,light rain
90,Pevek,RU,69.7008,170.3133,8.15,94,100,8.55,light snow
91,Castro,BR,-24.7911,-50.0119,59.11,96,84,1.34,broken clouds
92,Elko,US,41.0002,-115.5012,57.74,21,15,3.0,few clouds
93,Lac Du Bonnet,CA,50.2536,-96.0612,52.92,49,85,3.31,overcast clouds
94,Flinders,AU,-34.5833,150.8552,67.05,55,7,8.01,clear sky
95,Kaitangata,NZ,-46.2817,169.8464,61.39,75,100,3.51,overcast clouds
96,Saskylakh,RU,71.9167,114.0833,-4.05,87,99,9.1,overcast clouds
97,Tual,ID,-5.6667,132.75,84.11,73,79,6.6,broken clouds
98,Lebu,CL,-37.6167,-73.65,50.67,77,98,21.59,overcast clouds
99,Ayan,RU,56.45,138.1667,30.51,50,100,4.92,overcast clouds
100,Novoagansk,RU,61.9449,76.6625,18.66,95,74,7.61,broken clouds
101,Saint-Philippe,RE,-21.3585,55.7679,69.39,84,33,8.03,scattered clouds
102,Nagold,DE,48.5498,8.7237,66.85,52,100,4.03,overcast clouds
103,Tiksi,RU,71.6872,128.8694,4.28,91,100,7.0,overcast clouds
104,Nabire,ID,-3.3667,135.4833,77.52,89,85,1.83,overcast clouds
105,Yumen,CN,40.2833,97.2,33.94,48,38,7.47,scattered clouds
106,Norman Wells,CA,65.282,-126.8329,19.44,86,100,4.61,overcast clouds
107,Mar Del Plata,AR,-38.0023,-57.5575,57.83,69,0,16.11,clear sky
